organization_key,offer_internal_name,volume_type,volume_type1,volume_creation_date,nb_volumes,storage_size
e41591d7-276f-445c-848b-f018e8ae49b2,GP1-XS,b_ssd,volume_storage,2022-04-01 00:00,11,2152
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,l_ssd,utility disk,2022-11-01 00:00,15,"2095,475793"
0e5249bc-c22c-42a9-b30d-6105fc814d75,GP1-S,b_ssd,volume_storage,2022-05-01 00:00,37,2092
7b4f6a00-217c-464f-88da-84442bf53bb6,DEV1-L,l_ssd,utility disk,2022-11-01 00:00,28,"2086,162567"
fa44cbef-d1c4-43cf-b4ab-8e099a685d1b,GP1-S,b_ssd,volume_storage,2023-01-01 00:00,2,2058
fa44cbef-d1c4-43cf-b4ab-8e099a685d1b,GP1-S,b_ssd,volume_storage,2022-12-01 00:00,1,2048
c59c56c4-79dc-4204-9f66-736877fad7e9,GP1-XS,b_ssd,volume_storage,2021-09-01 00:00,4,2048
c59c56c4-79dc-4204-9f66-736877fad7e9,PRO2-M,b_ssd,volume_storage,2022-01-01 00:00,1,2048
c59c56c4-79dc-4204-9f66-736877fad7e9,PRO2-M,b_ssd,volume_storage,2022-06-01 00:00,1,2048
8690304a-bf31-465d-b11e-bb6d70f5d8c0,GP1-M,b_ssd,volume_storage,2022-01-01 00:00,4,2024
107d677a-cc28-44be-98ed-5baaeb808eab,GP1-M,b_ssd,volume_storage,2022-09-01 00:00,3,2020
e5a089dd-a226-4276-80c3-1b139d938b99,DEV1-XL,b_ssd,volume_storage,2022-03-01 00:00,5,2010
b6e054da-7d81-4d68-ba18-496971317eb5,DEV1-L,b_ssd,volume_storage,2022-07-01 00:00,4,2000
50958b0c-e54b-461e-be16-b1510a2f0d7a,GP1-L,b_ssd,volume_storage,2022-08-01 00:00,3,2000
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2022-04-01 00:00,7,"1955,777407"
1f092bbb-ea7e-4d47-8f88-5dc1f7c084cf,GP1-S,l_ssd,utility disk,2023-01-01 00:00,7,"1955,777407"
7759502b-9257-4c05-bd17-7f54639a0219,GP1-XS,b_ssd,volume_storage,2022-09-01 00:00,11,1950
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,l_ssd,utility disk,2022-07-01 00:00,13,"1816,079021"
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,l_ssd,utility disk,2023-01-01 00:00,13,"1816,079021"
fa44cbef-d1c4-43cf-b4ab-8e099a685d1b,GP1-XS,b_ssd,volume_storage,2022-06-01 00:00,3,1800
52a9aa7b-7d0e-47c2-8fc8-ace65990755f,DEV1-L,l_ssd,utility disk,2023-02-01 00:00,24,"1788,139343"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,b_ssd,volume_storage,2021-05-01 00:00,45,1767
a7ec9296-de32-44d3-9f95-611cd8ee8e20,DEV1-XL,b_ssd,volume_storage,2021-05-01 00:00,10,1754
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,b_ssd,volume_storage,2021-12-01 00:00,69,"1734,931323"
7b07a7db-6955-419b-b69a-acbf173e8099,PRO2-XS,b_ssd,volume_storage,2023-01-01 00:00,20,1710
dd81cdab-e160-4d94-9f00-fe0e84bb647b,GP1-S,l_ssd,utility disk,2022-11-01 00:00,6,"1676,380634"
926fe225-7dfa-496a-9461-5600ce6dbcb2,GP1-M,l_ssd,utility disk,2023-02-01 00:00,3,"1676,380634"
38a5d5c2-bf57-4ed6-b0f6-9d5fc0441b4b,GP1-S,l_ssd,utility disk,2022-04-01 00:00,6,"1676,380634"
b6e054da-7d81-4d68-ba18-496971317eb5,GP1-M,l_ssd,utility disk,2023-01-01 00:00,3,"1676,380634"
e55beae3-8fb1-4043-b013-ca72aa99cdf2,GP1-M,l_ssd,utility disk,2022-08-01 00:00,3,"1676,380634"
8617becf-a03b-4c10-ba44-45a16fb1de79,GP1-S,l_ssd,utility disk,2023-01-01 00:00,6,"1676,380634"
378fdd46-ee4d-4830-a225-765b01440c36,GP1-M,l_ssd,utility disk,2022-07-01 00:00,3,"1676,380634"
f7476c34-4983-49fc-a148-5f3484ffc9e4,GP1-M,l_ssd,utility disk,2023-02-01 00:00,3,"1676,380634"
b11f1ff2-b329-4015-a132-c52174c9939e,GP1-S,l_ssd,utility disk,2022-10-01 00:00,6,"1676,380634"
98d6df02-abe3-495e-a098-503bbba479cf,GP1-M,l_ssd,utility disk,2023-02-01 00:00,3,"1676,380634"
8b93683b-480b-48dd-9d75-c01b09f8815a,GP1-M,l_ssd,utility disk,2023-02-01 00:00,3,"1676,380634"
7d27899e-6077-4474-8be1-3afe474b292f,GP1-M,l_ssd,utility disk,2022-02-01 00:00,3,"1676,380634"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,b_ssd,volume_storage,2022-05-01 00:00,38,1660
17982f5c-9194-40e1-9cb6-d1cedf4f4271,GP1-S,b_ssd,volume_storage,2021-04-01 00:00,17,1658
4e8f9467-e432-4817-a4da-80a04ffeb791,GP1-XS,b_ssd,volume_storage,2021-10-01 00:00,18,1622
f835747d-f608-479b-988d-7c10c4e70c26,DEV1-L,b_ssd,volume_storage,2021-05-01 00:00,9,1605
7b4f6a00-217c-464f-88da-84442bf53bb6,DEV1-L,b_ssd,volume_storage,2022-11-01 00:00,6,1566
b099d21b-bd41-41d7-a073-32401890627b,DEV1-XL,l_ssd,utility disk,2022-09-01 00:00,14,"1564,621925"
0e2f62b6-a0bb-4b2e-a332-1a14a7f3b66e,DEV1-M,l_ssd,utility disk,2022-07-01 00:00,41,"1527,369022"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,b_ssd,volume_storage,2022-08-01 00:00,33,1513
1f0161ec-4cb6-4798-9917-42e495281c80,GP1-XS,b_ssd,volume_storage,2021-01-01 00:00,4,1500
24611d72-769e-40cd-b0e8-50cbf752dfb7,GP1-XS,b_ssd,volume_storage,2021-03-01 00:00,5,1500
0e2f62b6-a0bb-4b2e-a332-1a14a7f3b66e,GP1-XS,b_ssd,volume_storage,2022-06-01 00:00,3,1500
e5a089dd-a226-4276-80c3-1b139d938b99,DEV1-XL,l_ssd,utility disk,2022-04-01 00:00,13,"1452,863216"
7b4f6a00-217c-464f-88da-84442bf53bb6,DEV1-L,l_ssd,utility disk,2022-10-01 00:00,19,"1415,610313"
f7297975-8a39-4a3a-a81a-b6a41040f5d4,GP1-S,l_ssd,utility disk,2022-07-01 00:00,5,"1396,983862"
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,l_ssd,utility disk,2022-10-01 00:00,10,"1396,983862"
d83c6764-155f-4f19-99d6-c82cae442512,GP1-S,l_ssd,utility disk,2022-04-01 00:00,5,"1396,983862"
38a2d815-aea9-4475-8d5f-d647c8ba2b0c,PRO2-XXS,b_ssd,utility disk,2023-02-01 00:00,3,"1396,983862"
8658f5bb-04b0-41b9-a8de-533025d4e2c7,GP1-XS,l_ssd,utility disk,2022-10-01 00:00,10,"1396,983862"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2022-12-01 00:00,5,"1396,983862"
f4607559-c5f1-4347-a3aa-fa6e77a8ad0a,PRO2-S,b_ssd,volume_storage,2023-01-01 00:00,11,"1382,656613"
935328c2-a498-4eef-b278-a3f19ab6c8f1,PRO2-S,b_ssd,volume_storage,2023-02-01 00:00,4,"1382,227416"
fa44cbef-d1c4-43cf-b4ab-8e099a685d1b,GP1-XS,b_ssd,volume_storage,2022-12-01 00:00,2,1300
